"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"020","INTERNATIONAL STANDARD BOOK NUMBER","INTERNATIONAL STANDARD BOOK NUMBER","1","0","0","","","","ACQ"
"022","INTERNATIONAL STANDARD SERIAL NUMBER","INTERNATIONAL STANDARD SERIAL NUMBER","1","0","0","","","","ACQ"
"100","MAIN ENTRY--PERSONAL NAME","MAIN ENTRY--PERSONAL NAME","0","0","0","","","","ACQ"
"245","TITLE STATEMENT","TITLE STATEMENT","0","1","0","","","","ACQ"
"250","EDITION STATEMENT","EDITION STATEMENT","1","0","0","","","","ACQ"
"260","PUBLICATION, DISTRIBUTION, ETC.","PUBLICATION, DISTRIBUTION, ETC.","1","0","0","","","","ACQ"
"440","SERIES STATEMENT/ADDED ENTRY--TITLE","SERIES STATEMENT/ADDED ENTRY--TITLE","1","0","0","","","","ACQ"
"590","LOCAL NOTE (RLIN)","LOCAL NOTE (RLIN)","1","0","0","","","","ACQ"
"952","LOCATION AND ITEM INFORMATION (KOHA)","LOCATION AND ITEM INFORMATION (KOHA)","1","0","0","","","","ACQ"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

"tagfield","tagsubfield","liblibrarian","libopac","repeatable","mandatory","important","kohafield","tab","authorised_value","authtypecode","value_builder","isurl","hidden","frameworkcode","seealso","link","defaultvalue","maxlength","display_order"
"020","a","International Standard Book Number","International Standard Book Number","0","0","0","biblioitems.isbn","0","","","validate_isbn.pl","0","0","ACQ","","","","9999","0"
"022","a","International Standard Serial Number","International Standard Serial Number","0","0","0","biblioitems.issn","0","","","","0","0","ACQ","","","","9999","0"
"100","a","Personal name","Personal name","0","0","0","biblio.author","1","","PERSO_NAME","","0","0","ACQ","'100b','100c','100q','100d','100e','110a','110b','110c','110d','110e','111a','111e','111c','111d','130a','700a','700b','700c','700q','700d','700e','710a','710b','710c','710d','710e','711a','711e','711c','711d','720a','720e','796a','796b','796c','796q','796d','796e','797a','797b','797c','797d','797e','798a','798e','798c','798d','800a','800b','800c','800q','800d','800e','810a','810b','810c','810d','810e','811a','811e','811c','811d','896a','896b','896c','896q','896d','896e','897a','897b','897c','897d','897e','898a','898e','898c','898d','505r'","","","9999","0"
"245","a","Title","Title","0","1","0","biblio.title","2","","","","0","0","ACQ","'245b','245f','245g','245k','245n','245p','245s','245h','246i','246a','246b','246f','246g','246n','246p','246h','242a','242b','242n','242p','242h','505t'","","","9999","0"
"250","a","Edition statement","Edition statement","0","0","0","biblioitems.editionstatement","2","","","","0","0","ACQ","","","","9999","0"
"260","b","Name of publisher, distributor, etc.","Name of publisher, distributor, etc.","1","0","0","biblioitems.publishercode","2","","","marc21_field_260b.pl","0","0","ACQ","","","","9999","0"
"260","c","Date of publication, distribution, etc.","Date of publication, distribution, etc.","1","0","0","biblio.copyrightdate","2","","","","0","0","ACQ","","","","9999","0"
"440","a","Title","Title","0","0","0","biblio.seriestitle","4","","UNIF_TITLE","","0","0","ACQ","'440n','440p','490a','830a','830n','830p','899a'","","","9999","0"
"590","a","Local Note","Local Note","1","0","0","","0","","","","0","0","ACQ","","","","9999","0"
"952","0","Withdrawn status","Withdrawn status","0","0","0","items.withdrawn","10","WITHDRAWN","","","0","0","ACQ","","","","9999","0"
"952","1","Lost status","Lost status","0","0","0","items.itemlost","10","LOST","","","0","-5","ACQ","","","","9999","0"
"952","2","Source of classification or shelving scheme","Source of classification or shelving scheme","0","0","0","items.cn_source","10","cn_source","","","0","0","ACQ","","","","9999","0"
"952","3","Materials specified (bound volume or other part)","Materials specified (bound volume or other part)","0","0","0","items.materials","10","","","","0","-1","ACQ","","","","9999","0"
"952","4","Damaged status","Damaged status","0","0","0","items.damaged","10","DAMAGED","","","0","0","ACQ","","","","9999","0"
"952","5","Use restrictions","Use restrictions","0","0","0","items.restricted","10","RESTRICTED","","","0","0","ACQ","","","","9999","0"
"952","6","Koha normalized classification for sorting","Koha normalized classification for sorting","0","0","0","items.cn_sort","-1","","","","0","7","ACQ","","","","9999","0"
"952","7","Not for loan","Not for loan","0","0","0","items.notforloan","10","NOT_LOAN","","","0","0","ACQ","","","","9999","0"
"952","8","Collection code","Collection code","0","0","0","items.ccode","10","CCODE","","","0","0","ACQ","","","","9999","0"
"952","9","Koha itemnumber (autogenerated)","Koha itemnumber","0","0","0","items.itemnumber","-1","","","","0","7","ACQ","","","","9999","0"
"952","a","Home library","Home library","0","0","0","items.homebranch","10","branches","","","0","0","ACQ","","","","9999","0"
"952","b","Current library","Current library","0","0","0","items.holdingbranch","10","branches","","","0","0","ACQ","","","","9999","0"
"952","c","Shelving location","Shelving location","0","0","0","items.location","10","LOC","","","0","0","ACQ","","","","9999","0"
"952","d","Date acquired","Date acquired","0","0","0","items.dateaccessioned","10","","","dateaccessioned.pl","0","0","ACQ","","","","9999","0"
"952","e","Source of acquisition","Source of acquisition","0","0","0","items.booksellerid","10","","","","0","0","ACQ","","","","9999","0"
"952","f","Coded location qualifier","Coded location qualifier","0","0","0","items.coded_location_qualifier","10","","","","0","0","ACQ","","","","9999","0"
"952","g","Cost, normal purchase price","Cost, normal purchase price","0","0","0","items.price","10","","","","0","0","ACQ","","","","9999","0"
"952","h","Serial Enumeration / chronology","Serial Enumeration / chronology","0","0","0","items.enumchron","10","","","","0","0","ACQ","","","","9999","0"
"952","i","Inventory number","Inventory number","0","0","0","items.stocknumber","10","","","","0","0","ACQ","","","","9999","0"
"952","j","Shelving control number","Shelving control number","0","0","0","items.stack","10","STACK","","","0","-1","ACQ","","","","9999","0"
"952","l","Total Checkouts","Total Checkouts","0","0","0","items.issues","10","","","","0","-5","ACQ","","","","9999","0"
"952","m","Total Renewals","Total Renewals","0","0","0","items.renewals","10","","","","0","-5","ACQ","","","","9999","0"
"952","n","Total Holds","Total Holds","0","0","0","items.reserves","10","","","","0","-5","ACQ","","","","9999","0"
"952","o","Full call number","Full call number","0","0","0","items.itemcallnumber","10","","","","0","0","ACQ","","","","9999","0"
"952","p","Barcode","Barcode","0","0","0","items.barcode","10","","","barcode.pl","0","0","ACQ","","","","9999","0"
"952","q","Checked out","Checked out","0","0","0","items.onloan","10","","","","0","-5","ACQ","","","","9999","0"
"952","r","Date last seen","Date last seen","0","0","0","items.datelastseen","10","","","","0","-5","ACQ","","","","9999","0"
"952","s","Date last checked out","Date last checked out","0","0","0","items.datelastborrowed","10","","","","0","-5","ACQ","","","","9999","0"
"952","t","Copy number","Copy number","0","0","0","items.copynumber","10","","","","0","0","ACQ","","","","9999","0"
"952","u","Uniform Resource Identifier","Uniform Resource Identifier","0","0","0","items.uri","10","","","","1","0","ACQ","","","","9999","0"
"952","v","Cost, replacement price","Cost, replacement price","0","0","0","items.replacementprice","10","","","","0","0","ACQ","","","","9999","0"
"952","w","Price effective from","Price effective from","0","0","0","items.replacementpricedate","10","","","","0","0","ACQ","","","","9999","0"
"952","x","Non-public note","Non-public note","0","0","0","items.itemnotes_nonpublic","10","","","","0","1","ACQ","","","","9999","0"
"952","y","Koha item type","Koha item type","0","0","0","items.itype","10","itemtypes","","","0","0","ACQ","","","","9999","0"
"952","z","Public note","Public note","0","0","0","items.itemnotes","10","","","","0","0","ACQ","","","","9999","0"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

