"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"000","LEADER","LEADER","0","1","0","","","","MTLB"
"050","Sample Number","Sample Number","0","1","0","","","","MTLB"
"110","Company Name","Company Name","0","1","0","","","","MTLB"
"240","Product Line","Product Line","0","0","0","","","","MTLB"
"245","Material Name","Material Name","0","1","0","","","","MTLB"
"500","Full Text Description of Sample","Full Text Description of Sample","1","0","0","","","","MTLB"
"655","Material Type","Material Type","1","1","0","","","","MTLB"
"690","Form/ Composition/ Properties/ Applications","Form/ Composition/ Properties/ Applicaitons","1","0","0","","","","MTLB"
"856","URL","URL","0","0","0","","","","MTLB"
"942","ADDED ENTRY ELEMENTS (KOHA)","ADDED ENTRY ELEMENTS(KOHA)","0","0","0","","","","MTLB"
"952","LOCATION AND ITEM INFORMATION (KOHA)","LOCATIONAND ITEM INFORMATION (KOHA)","1","0","0","","","","MTLB"
"999","SYSTEM CONTROL NUMBERS(KOHA)","SYSTEM CONTROL NUMBERS (KOHA)","1","0","0","","","","MTLB"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

"tagfield","tagsubfield","liblibrarian","libopac","repeatable","mandatory","important","kohafield","tab","authorised_value","authtypecode","value_builder","isurl","hidden","frameworkcode","seealso","link","defaultvalue","maxlength","display_order"
"000","@","fixed length control field","fixed length control field","0","1","0","","0","","","marc21_leader.pl","0","0","MTLB","","","     nrm a22     7u 4500","9999","0"
"050","a","Sample Number","Sample Number","0","0","0","","0","","","","0","-1","MTLB","","","","9999","0"
"110","a","Company Name","Company Name","0","0","0","","0","","","","0","-1","MTLB","","","","9999","0"
"110","b","Subsidiary","Subsidiary","0","0","0","","0","","","","0","-1","MTLB","","","","9999","0"
"240","a","Product Line","Product Line","0","0","0","biblio.unititle","0","","","","0","-1","MTLB","","","","9999","0"
"245","6","Linkage","Linkage","0","0","0","","0","","","","0","-7","MTLB","","","","9999","0"
"245","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-7","MTLB","","","","9999","0"
"245","a","Title","Title","0","1","0","biblio.title","0","","","","0","0","MTLB","","","","9999","0"
"245","b","Remainder of title","Remainder of title","0","0","0","","0","","","","0","-6","MTLB","","","","9999","0"
"245","c","Statement of responsibility, etc","Statement of responsibility, etc","0","0","0","","0","","","","0","-4","MTLB","","","","9999","0"
"245","f","Inclusive dates","Inclusive dates","0","0","0","","0","","","","0","-7","MTLB","","","","9999","0"
"245","g","Bulk dates","Bulk dates","0","0","0","","0","","","","0","-7","MTLB","","","","9999","0"
"245","h","Medium","Medium","0","0","0","","0","","","","0","-7","MTLB","","","","9999","0"
